Who?	Sino?
Something changed.	Mayroong nagbago.
Stand up and walk.	Tumayo at maglakad.
That is all right.	Ayos lang iyon.
The bus just left.	Kakaalis lang ng bus.
The cake is tasty.	Masarap ang keyk.
The pain has gone.	Nawala na ang pananakit.
The pen is broken.	Sira ang panulat.
The price is good.	Magaling ang presyo.
There is a strike.	May welga.
Tom loved bananas.	Nagustuhan ni Tomas ang saging.
Tom wants to talk.	Gusto ni Tom magsalita.
Try to look happy.	Subukan mong magmukhang masaya.
We're all waiting.	Naghihintay tayong lahat.
What a lovely day!	Kay gandang araw!
What is happening?	Anong nangyayari?
What is happiness?	Ano ang kasiyahan?
What would happen?	Anong mangyayari?
Where is the book?	Nasaan yung libro?
Where is the book?	Nasaan yung aklat?
You are beautiful.	Maganda ka.
You are my father.	Ikaw ang tatay ko.
You are my friend.	Ikaw ang aking kaibigan.
You came too late.	Hulí ka na.
You don't have it.	Wala ka.
You're disgusting!	Kadiri ka!
Bananas are yellow.	Dilaw ang saging.
Do you like apples?	Gusto mo ng mansanas?
Do you like movies?	Gusto mo ng pelikula?
Don't be like that.	Wag kang ganyan.
Everything changed.	Lahat ay nagbago.
Everything changes.	Lahat ay nagbabago.
Have you eaten yet?	Kumain ka na ba?
He appeared hungry.	Parang gutom siya.
He has white teeth.	Mayroon siyang puting ngipin.
He should be angry.	Dapat galit siya.
He should thank me.	Dapat niya akong pasalamatan.
He stopped talking.	Tumigil siyang magdaldal.
He's a good person.	Mabuting tao sya.
How was your night?	Kamusta ang gabi mo?
How was your night?	Kumusta ang gabi mo?
I am grilling fish.	Nag-iihaw ako ng isda.
I am not a teacher.	Hindi ako guro.
I don't have a car.	Wala akong kotse.
I don't have a car.	Wala akong awto.
I had to walk home.	Napalakad akong pauwi.
I have to tell Tom.	Dapat kong sabihin kay Tom.
I like all of them.	Gusto ko lahat sila.
I like candlelight.	Gusto ko ang ilaw ng kandila.
I like your mirror.	Gusto ko ang salamin mo.
I may die tomorrow.	Maaari akong mamatay bukas.
I miss her so much.	Namimiss ko na siya.
I sort of like him.	Medyo gusto ko siya.
I think he'll come.	Tingin ko darating siya.
I want to go there.	Gusto kong pumunta roon.
I want you to sing.	Gusto kong kumanta ka.
I'll call you back.	Tatawagan uli kita.
Is he back already?	Bumalik na ba siya?
Is there any sugar?	May asukal ba?
It's a small world.	Ito'y maliit na mundo.
It's raining again.	Umuulan nanaman.
It's raining again.	Umuulan ulit.
Keep off the grass.	Iwasan ang damo.
Knowledge is power.	Lakas ang kaalaman.
Let me take a look.	Patingin ako.
May I begin to eat?	Puwede na bang magsimulang kumain ako?
Nobody understands.	Walang nakaintindi.
Owls have big eyes.	May malalaking mata ang mga kuwago.
Return immediately.	Bumalik agad-agad.
Send me a postcard.	Padalhan mo ako ng postcard.
She kept on crying.	Iyak siya ng iyak.
She's my professor.	Propesor ko siya.
Something happened.	May nangyari.
The boy eats bread.	Kumakain ng tinapay ang batang lalaki.
The crow flew away.	Lumipad ang uwak.
The waves are high.	Mataas ang alon.
The world is small.	Maliit ang daigdig.
They're not afraid.	Hindi sila takot.
This is Mary's dog.	Aso ni Mary ito.
This story is true.	Totoo itong kuwento.
Tom can't help you.	Hindi ka kayang tulungan ni Tom.
Tom didn't do that.	Hindi si Tom ang gumawa noon.
Tom got very drunk.	Nalasing si Tomas.
Tom has bad breath.	Mabaho ang hininga ni Tom.
Tom kissed my hand.	Hinalikan ni Tom ang aking kamay.
Tom likes swimming.	Gusto ni Tom lumangoy.
We slept in a tent.	Natulog kami sa tolda.
We're ignoring Tom.	Di namin papansinin si Tom.
What a lovely doll!	Kay gandang manika!
What a strong wind!	Ang lakas ng hangin!
What're you saying?	Anong sinasabi mo?
When does it begin?	Kailan ba magsisimula?
Where do you write?	Saan ka nagsusulat?
Where do you write?	Saan kayo nagsusulat?
Where should we go?	Saan ang dapat nating puntahan?
Who are those guys?	Sino sila?
Why are you crying?	Bakit ka umiiyak?
Why can't you come?	Bakit di ka makakapunta?
You can study here.	Puwede kang mag-aral dito.
You look very pale.	Maputla ka.
You need a haircut.	Kailangan mong magpagupit ng buhok.
Breakfast is served.	Nahain na ang almusal.
Can you drive a car?	Marunong kang magmaneho ng sasakyan?
Can you swim at all?	Makakalangoy ka ba?
Do you have a match?	Meron kang pangsindi?
Do you have a table?	Meron ba kayong mesa?
Enjoy your holidays.	Mag-enjoy sa inyong bakasyon.
Everything is ready.	Handa na ang lahat.
Evil sometimes wins.	Minsan, nananalo ang kasamaan.
Family is important.	Mahalaga ang pamilya.
Glass breaks easily.	Madaling mabasag ang bubog.
He can be relied on.	Hindi ka makakaasa sa kanya.
He has a loud voice.	Malakas ang boses niya.
He ran out of money.	Naubos niya ang pera niya.
He ran out of money.	Naubusan siya ng pera.
He took off his hat.	Inalis niya ang sombrero niya.
Her face turned red.	Namula ang mukha niya.
Here is your change.	Sukli mo.
His ideas are crazy.	Sira-ulo ang mga ideya niya.
How do you feel now?	Anong pakiramdam mo na?
I am peeling apples.	Nagtatalop ako ng mansanas.
I can't swim at all.	Talagang di ako makalangoy.
I come from Holland.	Galing ako sa Olanda.
I do not understand.	Hindi ko naiintindihan.
I find swimming fun.	Natutuwa ako sa paglalangoy.
I highly doubt that.	Parang hindi naman kapani-paniwala yan.
I just want to sleep	Gusto ko lang matulog.
I like your mirrors.	Gusto ko ang inyong mga salamin.
I love to play golf.	Gustung-gusto kong naglalaro ng golf.
I see how you study.	Kita ko kung paano ka nag-aaral.
I stole it from Tom.	Ninakaw ko ito kay Tom.
I talked to friends.	Kinausap ko ang mga kaibigan.
I want to eat steak.	Gusto kong kumain ng isteyk.
I'll call back soon.	Tatawag ako agad.
I'm not a bit tired.	Hindi pa ako pagod.
I'm not really sure.	Hindi ako sigurado.
I've just come back.	Kababalik ko lang.
It was a great trip.	Magaling na biyahe iyon.
It was getting dark.	Kumulimlim na.
It's a real bargain.	Sulit 'yan.
Let's make it brief.	Gawin natin itong maikli.
Let's make it brief.	Bilisan lang natin.
Let's try something.	Subukan natin to.
Look straight ahead.	Diretso lang ang tingin.
May I take a shower?	Puwede bang magdutsa ako?
Monkeys climb trees.	Umaakyat ng mga puno ang mga unggoy.
My hair is so messy!	Napakagulo ng aking buhok!
Only time will tell.	Oras lamang ang magsasabi.
She baked me a cake.	Nagbeyk siya ng keyk.
She can't cook well.	Hindi siya masyadong marunong magluto.
She kept on talking.	Tuloy siyang dumaldal.
Thailand is in Asia.	Nasa Asya ang Taylandiya.
Thailand is in Asia.	Nasa Asya ang Siyam.
That boy is running.	Tumatakbo ang batang lalaki.
That's a great poem.	Magaling na tula iyan.
The air became warm.	Uminit ang hangin.
The roads are dirty.	Marumi ang mga daan.
The trees are green.	Berde ang mga puno.
These are not words.	Hindi ito mga salita.
They don't like Tom.	Hindi nila gusto si Tom.
They have the horse.	Nasa kanila yung kabayo.
This is my daughter.	Ito ang anak kong babae.
This isn't possible.	Di posible ito.
Tom isn't ready yet.	Di pa handa si Tomas.
We aren't like that.	Hindi kami ganun.
We're short on time.	Kaunti na ang oras natin.
What are they doing?	Anong ginagawa nila?
What does this mean?	Anong ibig-sabihin nito?
What is on the desk?	Ano ang nasa pupitre?
What pretty flowers!	Kay gandang mga bulaklak!
What was that noise?	Ano yung ingay na iyon?
What's worrying you?	Anong winowori ka?
What's your problem?	Anong problema mo?
Where are you going?	Pasaan ka?
Where are you going?	Saan ka pupunta?
Where did it happen?	Saan iyon nangyari?
Who is your teacher?	Sino ang titser mo?
Why are you yelling?	Ba't ka sumisigaw?
Why didn't she come?	Ba't di siya pumunta?
Why is the sky blue?	Bakit bughaw ang langit?
You can't swim here.	Di ka puwedeng lumangoy dito.
You know I love you.	Alam mo na mahal kita.
You must study hard.	Mag-aral kang mabuti.
Apples grow on trees.	Sa puno lumalaki ang mansanas.
Can you really do it?	Kaya mo ba talagang gawin ito?
Did something happen?	Meron bang nangyari?
Do you like baseball?	Mahilig ka ba sa baseball?
Do you speak English?	Marunong ka bang mag-Ingles?
Do you speak English?	Marunong ba kayong mag-Ingles?
Do you want anything?	Meron ka bang gusto?
Don't worry about it.	Huwag mong alalahanin.
Father fixed the car.	Inayos ni tatay ang sasakyan.
Get some sleep, okay?	Tumulog ka nang konti, ayos ba?
He aimed at the bird.	Tinudla niya ang ibon.
He arrived too early.	Masyado siyang maagang dumating.
He came to my rescue.	Pumunta siya para iligtas ako.
He got angry with me.	Nagalit siya sa akin.
He has good eyesight.	Magaling ang mata niya.
He hit me by mistake.	Hindi niya sinadyang matamaan ako.
He is good at tennis.	Magaling siyang magtenis.
He needs an umbrella.	Kailangan niya ng payong.
He seems to be lying.	Parang nagsisinungaling siya.
He spoke very loudly.	Malakas siyang magsalita.
He went to the store.	Pumunta siya sa tindahan.
He's got a white cat.	Mayroon syang puting pusa.
How deep is the lake?	Gaano kalalim ang lawa?
How was your holiday?	Kamusta ang bakasyon mo?
I don't want to rest.	Ayaw kong magpahinga.
I have to go to work.	Kailangan kong pumasok sa trabaho.
I know him very well.	Kilala ko siyang mabuti.
I lost consciousness.	Nawalan ako ng malay.
I love fried bananas.	Gusto ko ang pritong saging.
I must go right away.	Dapat basta umalis na ako.
I need more blankets.	Kailangan ko pa ng mga kumot.
I think I understand.	Isip ko'y naiintindihan ko.
I think you're right.	Isip ko'y tama ka.
I walked up the hill.	Naglakad akong pataas ng burol.
I wish I were a bird.	Sana'y ako'y ibon.
I work as a salesman.	Ahente ang trabaho ko.
I work as a salesman.	Nagtitinda ang trabaho ko.
I'm an honest person.	Matapat ako.
It just doesn't work.	Hindi ito gumagana.
May I ask a question?	Maaari ba akong magtanong?
My memory is failing.	Mahina na ang memorya ko.
Nobody spoke with me.	Walang nakipagusap sa akin.
Please do it quickly.	Pakigawa nang mabilis nga.
Please hold the line.	Maghintay lang po kayo sandali.
Please wait a moment.	Maghintay lang po kayo sandali.
She is a slow runner.	Mabagal siyang tumakbo.
She is angry with me.	Galit siya sa akin.
She is my dream girl.	Siya ang pinapangarap kong babae.
There isn't any soap.	Walang sabon.
They're all upstairs.	Nasa taas silang lahat.
This bicycle is mine.	Ito'y aking bisikleta.
This is the best way.	Ito ang pinakamainam na paraan.
This must be changed.	Dapat itong baguhin.
This one is prettier.	Mas marikit ito.
This tastes like tea.	Lasa itong tsaa.
This wall feels cold.	Malamig itong dingding.
This wall feels cold.	Malamig itong pader.
Tom doesn't eat meat.	Hindi kumakain ng karne si Tom.
Tom is frying an egg.	Nagpriprito ng itlog si Tomas.
Tom is grilling meat.	Nag-iihaw ng karne si Tomas.
Tom is ready for you.	Handa na si Tom para sayo.
Tom is wearing a hat.	Nakasuot si Tomas ng sombrero.
Tom was worried, too.	Nagaalala rin si Tom.
Water reflects light.	Manalamin ang ilaw sa tubig.
What are you reading?	Ano'ng binabasa mo?
You are not a coward.	Hindi ka duwag.
You are now an adult.	Malaki ka na.
You keep out of this.	Huwag kang makialam.
You should apologize.	Humingi ka ng tawad.
You're going nowhere.	Hindi ka makakaalis dito.
Your dog is very big.	Malaki ang aso mo.
Are there any bananas?	Meron bang saging?
Are there any bananas?	Mayroon bang saging?
Are they all the same?	Magkapareho ba sila?
Are you angry with me?	Galit ka ba sa akin?
Are you being serious?	Seryoso ka ba?
Bananas are delicious.	Masarap ang saging.
Call me at the office.	Tawagan mo ako sa opisina.
Can I open the window?	Puwede ko bang buksan ang bintana?
Do you have a lighter?	Meron kang pangsindi?
Do you know who he is?	Kilala mo sya?
Do you own a computer?	Meron ka bang kompyuter?
Don't ask me anything.	Huwag kang magtanong ng kahit ano sa akin.
Don't forget about us!	Wag mo kaming kalimutan!
Don't leave me behind!	Huwag ninyo akong iwanan!
Have you eaten dinner?	Naghapunan ka na?
He came to pick me up.	Pumarini siya para sunduin ako.
He gave me an example.	Binigyan niya ako ng halimbawa.
His story may be true.	Baka totoo ang istorya niya.
How can I become rich?	Paano ba ako yayaman?
I can't find my watch.	Di ko mahanap ang relo ko.
I didn't get his joke.	Di ko naintindihan ang biro niya.
I didn't see anything.	Wala akong nakita.
I didn't vote for Tom.	Hindi ko binoto si Tom.
I have borrowed a car.	Nanghiram ako ng sasakyan.
I have class tomorrow.	May klase ako bukas.
I have lost my wallet.	Nawala ko ang aking pitaka.
I know you are clever.	Alam kong matalino ka.
I like playing tennis.	Gusto kong magtenis.
I remember that night.	Naalala ko ang gabing iyon.
I stayed home all day.	Napabahay ako buong araw.
I think he won't come.	Isip kong di siya paparini.
I thought it was true.	Akala ko totoo yun.
I walked about a mile.	Mga isang milya ang nilakad ko.
I want to sing a song.	Gusto kong kumanta.
I won't lose anything.	Walang mawawala sa akin.
I wonder who they are.	Nagtataka ako kung sino sila.
I'm not afraid of you.	Di ako takot sa iyo.
I'm not made of money.	Hindi ako gawa sa pera.
It might rain tonight.	Maaaring umulan ngayong gabi.
It was cold yesterday.	Malamig kahapon.
It's my favorite song.	Paborito kong kanta iyon.
Let me think about it.	Pag-iisipan ko.
Let's postpone dinner.	Ipagpaliban natin ang hapunan.
Nobody understands me.	Walang nakakaintindi saakin.
Please light a candle.	Magsindi ka naman ng kandila.
Put away your bicycle.	Itago mo ang iyong bisikleta.
She became an actress.	Naging artista siya.
She dashed downstairs.	Tumakbo siya pababa ng hagdan.
She is afraid of dogs.	Takot siya sa mga aso.
She is weak by nature.	Likas siyang mahina.
She's not at home now.	Wala siya sa bahay ngayon.
Sorry, I've got to go.	Sori, dapat umalis na ako.
Tadpoles become frogs.	Nagiging palaka ang butete.
Thanks for your reply.	Salamat sa sagot mo.
The baby cried loudly.	Umiyak ng malakas ang sanggol.
The bookstore is open.	Bukas ang bukstor.
The bookstore is open.	Bukas ang tindahan ng libro.
There's nothing there.	Walang anuman doon.
They don't have a car.	Wala silang kotse.
This is a joke, right?	Biro ito, tama?
This is enough for me.	Husto na ito para sa akin.
This is my brainchild.	Ito ang aking anak-utak.
This is what I wanted.	Ito ang gusto ko.
Tom appears exhausted.	Mukhang pagod si Tom.
Tom can't read French.	Di makabasa ng Pranses si Tomas.
Tom felt disappointed.	Nabigo si Tom.
Tom is bigger than me.	Mas malaki sa akin si Tom.
Tom wanted to be sure.	Gustong makasigurado ni Tom.
Was Tom working alone?	Mag-isa bang nagtrabaho si Tom?
Where are the toilets?	Nasaan ang banyo?
Where's everyone else?	Nasaan ang iba?
Why do you suspect me?	Bakit mo ako pinagsususpetsahan?
Why would Tom help us?	Bakit naman tayo tutulungan ni Tom?
You have to work hard.	Kailangan mong sumipag.
You must do your best.	Galingan mo.
You recovered quickly.	Nagrekober ka nang mabilis.
You'll never be alone.	Hindi ka nag-iisa.
Are these bananas ripe?	Hinog na ba ang saging na ito?
Bring me the magazines.	Dalhin mo sa akin ang mga magasin.
Can I have a paper bag?	Puwede ba sa akin ang papel na sako?
Can we talk in private?	Puwede ba tayong magsalita nang pribado?
Can you say that again?	Puwede mo bang ulitin iyon?
Come on! We'll be late.	Dali! Mahuhuli na tayo.
Did you read it at all?	Nabasa mo ba lahat?
Do you believe in UFOs?	Naniniwala ka ba sa mga UFO?
Do you believe in UFOs?	Naniniwala ka ba sa mga hindi tukoy na lumilipad na bagay?
Do you drink green tea?	Umiinom ka ba ng berdeng tsa?
Do you like this color?	Gusto mo nitong kulay?
Do you mind if I smoke?	Mangestorbo ba kung managarilyo ako?
Do you speak Esperanto?	Nakakapag-Esperanto ka ba?
Don't approach the dog.	Huwag lapitan ang aso.
Don't tell anyone this.	Huwag mong sabihin ito sa kung sinuman.
Give me another chance.	Bigyan mo ako ng isa pang pagkakataon.
Give me some milk, too.	Bigyan mo rin ako ng gatas.
Has Flight 123 arrived?	Dumating na ba ang Playt 123?
Have you told your mom?	Sinabi mo na ba sa iyong ina?
He doesn't like coffee.	Ayaw niya ng kape.
He exhausted his money.	Naubos niya ang pera niya.
He kept reading a book.	Tinuloy niyang magbasa ng libro.
He lay down on the bed.	Humiga siya sa kama.
He respects his father.	Iginagalang niya ang kanyang tatay.
His story must be true.	Totoo yata ang istorya niya.
How high is that tower?	Gaanong kataas yang tore?
How long is the bridge?	Gaano kahaba ang tulay?
I ate lunch in a hurry.	Nagmamadaling kumain ako ng tanghalian.
I didn't do it for you.	Di ko ginawa para sa iyo.
I don't agree with him.	Di ako sang-ayon sa kanya.
I don't want any sugar.	Ayaw ko ng may asukal.
I fell asleep in class.	Napatulog ako nang klase.
I have a cat and a dog.	Meron akong pusa't aso.
I know all their names.	Alam ko ang pangalan nilang lahat.
I like pink grapefruit.	Gusto ko ang suhang kulay rosas.
I like summer the best.	Pinakagusto ko ang tag-init.
I love taking pictures.	Mahilig akong kumuha ng mga litrato.
I make lunch every day.	Gumagawa ako ng tanghalian bawat araw.
I saved a lot of money.	Marami akong naipong pera.
I saw Tom a while back.	Nakita ko si Tom kanina.
I shook hands with her.	Nakipagkamayan ako sa kaniya.
I will not do it again.	Hindi ko uulitin.
I won't stand for this.	Hindi ko papayagan ito.
I won't stand for this.	Hindi maaari ito.
I wrote a song for you.	Nagsulat ako ng kanta para sa iyo.
I'll miss your cooking.	Mamimis ko ang luto mo.
I'm trying to remember.	Sinusubukan kong tandaan.
I've found another job.	Nakahanap ako ng isa pang trabaho.
Is Tom suggesting that?	Iminumungkahi ba ni Tom iyon?
Is it not clear enough?	Di ba malinaw na?
It doesn't surprise me.	Di ako magugulat.
It smelled really good.	Ang bango.
It was cold last night.	Malamig kagabi.
Let's start right away.	Magsimula na tayo.
My grandmother is sick.	May sakit ang lola ko.
Nothing really matters.	Wala naman talagang may kasaysayan.
Please give me a drink.	Pahingi ng inumin.
She had white shoes on.	Suot niya'y puting sapatos.
She stood close to him.	Tumindig siya sa tabi niya.
Take me to your leader.	Dalhin mo ako sa hepe mo.
The news can't be true.	Di yata totoo ang balita.
The ship came in sight.	Nakita ang barko.
The ship came in sight.	Nakita ang bapor.
The sun shone brightly.	Sumisinag ang araw nang maliwanag.
The tea is boiling hot.	Kumukulong mainit na ang tsa.
These bananas went bad.	Namulok na itong saging.
They admire each other.	Kapwa silang naghahangaan.
They stopped the music.	Pinigil nila ang musika.
This is an uphill road.	Ito'y daang pataas ng burol.
This is excellent wine.	Magaling na alak ito.
Tom had no place to go.	Wala si Tomas mapuntahan.
Tom is eating a banana.	Kumakain ng saging si Tomas.
Tom is fanning himself.	Nagpapaypay si Tomas ng sarili niya.
Tom is trying on shoes.	Sinusubukan ni Tomas ang sapatos.
Tom wanted to find out.	Gustong malaman ni Tom.
We like playing soccer.	Gusto naming maglaro ng soccer.
We live in the suburbs.	Nakatira kami sa nayon.
We ran after the thief.	Hinabol namin ang magnanakaw.
We're also out of eggs.	Wala na rin tayong itlog.
We're also out of eggs.	Naubusan din tayo ng itlog.
What did she do to you?	Anong ginawa niya sa 'yo?
What time shall I come?	Ano'ng oras ako pupunta?
When is he coming back?	Kailan siya babalik?
Who teaches you French?	Sinong nagtuturo sa iyo ng Pranses?
Whose notebook is that?	Kaninong notbuk iyan?
Whose textbook is this?	Kaninong teksbuk ito?
Whose umbrella is this?	Kaninong payong ito?
Why are you busy today?	Ba't ka bisi ngayon?
Why is the baby crying?	Ba't umiiyak ang beybi?
Won't you take a chair?	Gusto niyo po bang umupo?
Would you like to come?	Gusto mong sumama?
You can't count on him.	Hindi ka makakaasa sa kanya.
You never told me that.	Hindi mo yan nasabi sa akin kahit kailan.
You speak good English.	Magaling kang mag-ingles.
You're running a fever.	Mayroon kang lagnat.
"Don't hurry," he added.	"Hindi mo kailangang magmadali," dagdag niya.
Are you afraid of death?	Takot ka bang mamatay?
Are you referring to me?	Ako ba ang tinutukoy mo?
Did they write a letter?	Gumawa ba sila ng sulat?
Don't try to deceive me.	Huwag mo akong niloloko.
Everything is connected.	May koneksyon ang lahat.
Everything is connected.	Konektado ang lahat.
